result_id,run_id,method,heldout_crop,n_labels,mAP50,mAP50_95,precision,recall,f1,latency_ms,model_size_mb,train_time_min,split_version,seed
r_coco_transfer_kiwi_b181_s42,coco_transfer_kiwi_b181_s42,coco_transfer,kiwi,181,0.9407,0.6371,0.8962,0.9125,0.9043,,5.96,2.55,v1,42
r_coco_transfer_kiwi_b10_s43,coco_transfer_kiwi_b10_s43,coco_transfer,kiwi,10,0.6872,0.3733,0.899,0.3618,0.5159,,5.96,1.16,v1,43
r_coco_transfer_kiwi_b181_s43,coco_transfer_kiwi_b181_s43,coco_transfer,kiwi,181,0.9437,0.6496,0.9117,0.8952,0.9034,,5.96,3.36,v1,43
r_coco_transfer_kiwi_b10_s44,coco_transfer_kiwi_b10_s44,coco_transfer,kiwi,10,0.0651,0.0221,0.0178,0.8808,0.0348,,5.96,0.42,v1,44
r_coco_transfer_kiwi_b181_s44,coco_transfer_kiwi_b181_s44,coco_transfer,kiwi,181,0.9368,0.6392,0.8964,0.9141,0.9052,,5.96,3.18,v1,44
r_crosspoll_kiwi_b10_s42,crosspoll_kiwi_b10_s42,crosspoll,kiwi,10,0.4155,0.2248,0.5142,0.4336,0.4705,,5.96,0.3,v1,42
r_crosspoll_kiwi_b25_s42,crosspoll_kiwi_b25_s42,crosspoll,kiwi,25,0.3554,0.194,0.3998,0.4661,0.4304,,5.96,0.33,v1,42
r_crosspoll_kiwi_b50_s42,crosspoll_kiwi_b50_s42,crosspoll,kiwi,50,0.9024,0.5993,0.8446,0.8509,0.8478,,5.96,1.62,v1,42
r_crosspoll_kiwi_b100_s42,crosspoll_kiwi_b100_s42,crosspoll,kiwi,100,0.9137,0.6066,0.8457,0.8766,0.8609,,5.96,2.13,v1,42
r_crosspoll_kiwi_b181_s42,crosspoll_kiwi_b181_s42,crosspoll,kiwi,181,0.925,0.6246,0.8499,0.9054,0.8768,,5.96,3.42,v1,42
r_crosspoll_kiwi_b10_s43,crosspoll_kiwi_b10_s43,crosspoll,kiwi,10,0.5389,0.2874,0.5814,0.5474,0.5639,,5.96,0.32,v1,43
r_crosspoll_kiwi_b25_s43,crosspoll_kiwi_b25_s43,crosspoll,kiwi,25,0.4809,0.2551,0.537,0.4553,0.4928,,5.96,0.33,v1,43
r_crosspoll_kiwi_b50_s43,crosspoll_kiwi_b50_s43,crosspoll,kiwi,50,0.9093,0.5934,0.8129,0.9024,0.8553,,5.96,1.66,v1,43
r_crosspoll_kiwi_b100_s43,crosspoll_kiwi_b100_s43,crosspoll,kiwi,100,0.9215,0.6173,0.8597,0.8808,0.8701,,5.97,3.33,v1,43
r_crosspoll_kiwi_b181_s43,crosspoll_kiwi_b181_s43,crosspoll,kiwi,181,0.9271,0.6299,0.8476,0.9079,0.8767,,5.96,3.37,v1,43
r_crosspoll_kiwi_b10_s44,crosspoll_kiwi_b10_s44,crosspoll,kiwi,10,0.4079,0.229,0.4638,0.4607,0.4622,,5.96,0.32,v1,44
r_crosspoll_kiwi_b25_s44,crosspoll_kiwi_b25_s44,crosspoll,kiwi,25,0.3347,0.1942,0.4055,0.3734,0.3888,,5.96,0.33,v1,44
r_crosspoll_kiwi_b50_s44,crosspoll_kiwi_b50_s44,crosspoll,kiwi,50,0.9137,0.5971,0.8492,0.8591,0.8541,,5.96,1.42,v1,44
r_crosspoll_kiwi_b100_s44,crosspoll_kiwi_b100_s44,crosspoll,kiwi,100,0.9208,0.6164,0.8197,0.9133,0.8639,,5.97,2.51,v1,44
r_crosspoll_kiwi_b181_s44,crosspoll_kiwi_b181_s44,crosspoll,kiwi,181,0.9273,0.63,0.8533,0.9144,0.8828,,5.96,3.35,v1,44
